family,seed,config,outcome,success,collided,reached,time_to_goal,path_length,min_clearance,steps,alpha_max,alpha_escape_frac,slack_max,slack_mean,cbf_active_steps,entrapped_frac,n_obstacles,n_dynamic,feasible
dynamic,27,Fminus_nogap,SUCCESS,1,0,1,17.5,7.0578,0.0595,175,2.0,0.0,0.0,0.0,174,0.0,1,1,1
clutter,28,A_stock,SUCCESS,1,0,1,14.6,5.6403,0.5845,146,2.0,0.0,0.0,0.0,0,0.0,5,0,1
clutter,28,C_escape,SUCCESS,1,0,1,14.6,5.6403,0.5845,146,2.0,0.0,0.0,0.0,0,0.0,5,0,1
clutter,28,D_cbf,SUCCESS,1,0,1,14.6,5.6403,0.5845,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
clutter,28,E_indep,SUCCESS,1,0,1,14.6,5.6403,0.5845,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
clutter,28,F_full,SUCCESS,1,0,1,14.6,5.6403,0.5845,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
clutter,28,Fminus_nogap,SUCCESS,1,0,1,14.6,5.6403,0.5845,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
dynamic,28,A_stock,SUCCESS,1,0,1,20.8,7.4871,0.2792,208,2.0,0.0,0.0,0.0,0,0.0,2,2,1
dynamic,28,C_escape,SUCCESS,1,0,1,20.0,7.2431,0.2792,200,2.0,0.0,0.0,0.0,0,0.1005,2,2,1
dynamic,28,D_cbf,SUCCESS,1,0,1,20.8,7.4871,0.2792,208,2.0,0.0,2e-06,0.0,207,0.0,2,2,1
dynamic,28,E_indep,SUCCESS,1,0,1,20.0,7.2431,0.2792,200,2.0,0.0,2e-06,0.0,199,0.1005,2,2,1
dynamic,28,F_full,SUCCESS,1,0,1,20.0,7.2431,0.2792,200,6.0,0.1005,2e-06,0.0,199,0.1005,2,2,1
dynamic,28,Fminus_nogap,SUCCESS,1,0,1,20.8,7.4879,0.2792,208,6.0,0.1353,2e-06,0.0,207,0.1353,2,2,1
narrowdyn,26,A_stock,TIMEOUT,0,0,0,40.1,3.6245,0.27,401,2.0,0.0,0.0,0.0,0,0.0,11,1,1
narrowdyn,26,C_escape,SUCCESS,1,0,1,25.7,9.5246,0.145,257,2.0,0.0,0.0,0.0,0,0.4062,11,1,1
narrowdyn,26,D_cbf,TIMEOUT,0,0,0,40.1,3.6245,0.27,401,2.0,0.0,0.0,0.0,400,0.0,11,1,1
narrowdyn,26,E_indep,SUCCESS,1,0,1,25.7,9.5246,0.145,257,2.0,0.0,0.0,0.0,256,0.4062,11,1,1
narrowdyn,26,F_full,SUCCESS,1,0,1,25.7,9.5246,0.145,257,6.0,0.4062,0.0,0.0,256,0.4062,11,1,1
narrowdyn,26,Fminus_nogap,TIMEOUT,0,0,0,40.1,3.4984,0.27,401,6.0,0.59,0.0,0.0,400,0.59,11,1,1
narrowdyn,28,A_stock,TIMEOUT,0,0,0,40.1,4.4656,0.0732,401,2.0,0.0,0.0,0.0,0,0.0,13,2,1
narrowdyn,28,C_escape,SUCCESS,1,0,1,31.1,8.561,0.0732,311,2.0,0.0,0.0,0.0,0,0.3774,13,2,1
narrowdyn,28,D_cbf,COLLISION,0,1,0,5.8,1.751,-0.0384,58,2.0,0.0,0.014609,0.000933,57,0.0,13,2,1
narrowdyn,28,E_indep,COLLISION,0,1,0,5.8,1.751,-0.0384,58,2.0,0.0,0.014609,0.000933,57,0.0,13,2,1
narrowdyn,28,F_full,COLLISION,0,1,0,5.8,1.751,-0.0384,58,2.0,0.0,0.014609,0.000933,57,0.0,13,2,1
narrowdyn,28,Fminus_nogap,COLLISION,0,1,0,5.8,1.751,-0.0384,58,2.0,0.0,0.014609,0.000933,57,0.0,13,2,1
clutter,29,A_stock,SUCCESS,1,0,1,15.5,5.8707,0.3098,155,2.0,0.0,0.0,0.0,0,0.0,6,0,1
clutter,29,C_escape,SUCCESS,1,0,1,15.5,5.8707,0.3098,155,2.0,0.0,0.0,0.0,0,0.0,6,0,1
clutter,29,D_cbf,SUCCESS,1,0,1,15.5,5.8707,0.3098,155,2.0,0.0,0.0,0.0,154,0.0,6,0,1
clutter,29,E_indep,SUCCESS,1,0,1,15.5,5.8707,0.3098,155,2.0,0.0,0.0,0.0,154,0.0,6,0,1
clutter,29,F_full,SUCCESS,1,0,1,15.5,5.8707,0.3098,155,2.0,0.0,0.0,0.0,154,0.0,6,0,1
clutter,29,Fminus_nogap,SUCCESS,1,0,1,15.5,5.8707,0.3098,155,2.0,0.0,0.0,0.0,154,0.0,6,0,1
utrap,27,A_stock,TIMEOUT,0,0,0,40.1,2.8445,0.3211,401,2.0,0.0,0.0,0.0,0,0.0,12,0,1
utrap,27,C_escape,SUCCESS,1,0,1,33.7,7.4884,0.3219,337,2.0,0.0,0.0,0.0,0,0.3155,12,0,1
utrap,27,D_cbf,TIMEOUT,0,0,0,40.1,2.8445,0.3211,401,2.0,0.0,0.0,0.0,400,0.0,12,0,1
utrap,27,E_indep,SUCCESS,1,0,1,33.7,7.4884,0.3219,337,2.0,0.0,0.0,0.0,336,0.3155,12,0,1
utrap,27,F_full,SUCCESS,1,0,1,33.7,7.4884,0.3219,337,6.0,0.3155,0.0,0.0,336,0.3155,12,0,1
utrap,27,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.8196,0.3258,401,6.0,0.7975,0.0,0.0,400,0.7975,12,0,1
dynamic,29,A_stock,SUCCESS,1,0,1,23.1,8.7611,0.145,231,2.0,0.0,0.0,0.0,0,0.0,2,1,1
dynamic,29,C_escape,SUCCESS,1,0,1,21.5,8.4118,0.145,215,2.0,0.0,0.0,0.0,0,0.2477,2,1,1
dynamic,29,D_cbf,SUCCESS,1,0,1,23.1,8.7633,0.145,231,2.0,0.0,0.0,0.0,230,0.0,2,1,1
dynamic,29,E_indep,SUCCESS,1,0,1,21.5,8.4111,0.145,215,2.0,0.0,0.0,0.0,214,0.2477,2,1,1
dynamic,29,F_full,SUCCESS,1,0,1,21.5,8.4111,0.145,215,6.0,0.2477,0.0,0.0,214,0.2477,2,1,1
dynamic,29,Fminus_nogap,SUCCESS,1,0,1,23.1,8.7646,0.145,231,6.0,0.3087,0.0,0.0,230,0.3087,2,1,1
clutter,27,A_stock,TIMEOUT,0,0,0,40.1,3.6548,0.3357,401,2.0,0.0,0.0,0.0,0,0.0,9,0,1
clutter,27,C_escape,TIMEOUT,0,0,0,40.1,3.6141,0.3357,401,2.0,0.0,0.0,0.0,0,0.61,9,0,1
clutter,27,D_cbf,TIMEOUT,0,0,0,40.1,3.6548,0.3357,401,2.0,0.0,0.0,0.0,400,0.0,9,0,1
clutter,27,E_indep,TIMEOUT,0,0,0,40.1,3.6141,0.3357,401,2.0,0.0,0.0,0.0,400,0.61,9,0,1
clutter,27,F_full,TIMEOUT,0,0,0,40.1,3.6141,0.3357,401,6.0,0.61,0.0,0.0,400,0.61,9,0,1
clutter,27,Fminus_nogap,TIMEOUT,0,0,0,40.1,3.6203,0.3357,401,6.0,0.61,0.0,0.0,400,0.61,9,0,1
utrap,28,A_stock,TIMEOUT,0,0,0,40.1,3.1294,0.3102,401,2.0,0.0,0.0,0.0,0,0.0,11,0,1
utrap,28,C_escape,SUCCESS,1,0,1,35.7,8.8506,0.3052,357,2.0,0.0,0.0,0.0,0,0.4298,11,0,1
utrap,28,D_cbf,TIMEOUT,0,0,0,40.1,3.1294,0.3102,401,2.0,0.0,0.0,0.0,400,0.0,11,0,1
utrap,28,E_indep,SUCCESS,1,0,1,35.7,8.8506,0.3052,357,2.0,0.0,0.0,0.0,356,0.4298,11,0,1
utrap,28,F_full,SUCCESS,1,0,1,35.7,8.8506,0.3052,357,6.0,0.4298,0.0,0.0,356,0.4298,11,0,1
utrap,28,Fminus_nogap,TIMEOUT,0,0,0,40.1,3.1287,0.3102,401,6.0,0.7275,0.0,0.0,400,0.7275,11,0,1
dynamic,30,A_stock,SUCCESS,1,0,1,14.7,6.0321,0.1219,147,2.0,0.0,0.0,0.0,0,0.0,5,2,1
dynamic,30,C_escape,SUCCESS,1,0,1,14.7,6.0321,0.1219,147,2.0,0.0,0.0,0.0,0,0.0,5,2,1
dynamic,30,D_cbf,SUCCESS,1,0,1,14.8,6.0541,0.1093,148,2.0,0.0,0.000629,4e-06,147,0.0,5,2,1
dynamic,30,E_indep,SUCCESS,1,0,1,14.8,6.0541,0.1093,148,2.0,0.0,0.000629,4e-06,147,0.0,5,2,1
dynamic,30,F_full,SUCCESS,1,0,1,14.8,6.0541,0.1093,148,2.0,0.0,0.000629,4e-06,147,0.0,5,2,1
dynamic,30,Fminus_nogap,SUCCESS,1,0,1,14.8,6.0541,0.1093,148,2.0,0.0,0.000629,4e-06,147,0.0,5,2,1
narrowdyn,27,A_stock,TIMEOUT,0,0,0,40.1,3.0719,0.2696,401,2.0,0.0,0.0,0.0,0,0.0,14,2,1
